index,name,onedrive1,onedrive2
1,【大学演讲01】心灵的诺亚方舟,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&amp;resid=B0F5593BB4D7F1A0%21120&amp;authkey=ANHyks3q0Z0lg0E&amp;em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
2,【大学演讲02】佛教眼中的神秘,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21107&authkey=AKowHkcM4xp15gI&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
3,【大学演讲03】心病还须心药医,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21116&authkey=AEkrZy-oG7PiRKo&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
4,【大学演讲04】红尘中的净土,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21115&authkey=ADDDLCQ1Quy7Nng&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
5,【大学演讲05】必须面对的真相,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21113&authkey=APcUtgrQaeuFLRU&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
6,【大学演讲06】寻觅爱的足迹,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21110&authkey=AF8_gauewbgD2_A&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
7,【大学演讲07】冲破迷暗的曙光,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21108&authkey=APy9JXqyTM0tig0&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
8,【大学演讲08】打开心扉的密钥,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21112&authkey=ABL6budNkgwKl1k&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
9,【大学演讲09】一切从心开始,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21118&authkey=AA2nU96V4LD7GQk&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
10,【大学演讲10】无私带来的喜乐,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21121&authkey=AFZqGBSTyE6UJNo&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
11,【大学演讲11】发掘永远的财富,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21114&authkey=AD7EGRlKOweQ0ak&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
12,【大学演讲12】探寻藏地瑰宝,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21122&authkey=APf97ddEocMdrN8&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",https://1drv.ms/b/s!AqDx17Q7WfWwesHQ_pz9afw5Elk
13,【大学演讲13】拯救“压力山大”,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21111&authkey=AH815qiX8ImsYCQ&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
14,【大学演讲14】只为一颗“心”,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21124&authkey=AKvOgppgfAG-95k&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
15,【大学演讲15】唤醒深藏的善,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21117&authkey=AGtdG_2g9UyJZiU&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",https://1drv.ms/b/s!AqDx17Q7WfWwdQyHRmYWt2wkbDw
16,【大学演讲16】点亮一盏心灯,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21123&authkey=AAB5BFrfYBeUzeg&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
17,【大学演讲17】寻觅失落的文明,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21109&authkey=AC8-otorIOi5Hng&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",
18,【大学演讲18】智慧比金子还贵,"<iframe src=""https://onedrive.live.com/embed?cid=B0F5593BB4D7F1A0&resid=B0F5593BB4D7F1A0%21119&authkey=ADziDZd2wuOeaKc&em=2"" width=""476"" height=""348"" frameborder=""0"" scrolling=""no""></iframe>",